example,ngram,pattern,term
But Mammy was never affectionate towards me.,affectionate towards me,affectionate towards/toward n,affectionate
In him all the better affections of his heart had centered.,affections of his,affections of n,affections
Suppose a husband has committed his affections outside of wedlock.,his affections,"x+'s affections",affections
Affiliate with us.,affiliate with us,affiliate with n,affiliate
This arguably would also extend to the position of the lending affiliate to the extent the borrowing affiliate uses the funds to acquire excluded property.,affiliate to the extent,affiliate to n,affiliate
The Germany-based company diversified its affiliate network.,its affiliate,"x+'s affiliate",affiliate
And are they affiliated to any other body ?,affiliated to any other,affiliated to n,affiliated
"The rest, not affiliated with any school, are wearing white.",affiliated with any school,affiliated with n,affiliated
Likewise affiliation with any organization would have the same affect on IVEWAA.,affiliation with any organization,affiliation with n,affiliation
The ideological background of prime ministers is empirically defined by their affiliation to one of the major party families.,affiliation to one,affiliation to n,affiliation
"The longer I’d been away from the South, the more I had an affinity for it.",affinity for it,affinity for n,affinity
I an affinity to you !,affinity to you,affinity to n,affinity
"There is a great affinity between the two masters of form, content and style.",affinity between the two,affinity between pl-n,affinity
He has an affinity with them.,affinity with them,affinity with n,affinity
It was an unofficial dinner that highlighted their affinity.,their affinity,"x+'s affinity",affinity
I would affirm that you have to have action.,affirm that,affirm that,affirm
But it does affirm what is true.,affirm what,affirm wh,affirm
A smile is a powerful affirmation that is underutilized.,affirmation that,affirmation that,affirmation
There was no familiar set of coattails to affix it to.,affix it to,affix n prep/adv,affix
"I engross, in bald matter of fact prose, and in cold blood I affix my signature to it.",affix my signature to it,affix n to n,affix
There was no familiar set of coattails to affix it to.,affix it to,affix n adv/prep,affix
Much may be comprised in a small masters to afflict them with their burdens. space.,afflict them with their burdens,afflict n with n,afflict
Wrap the afflicted area in a sterile gauze bandage.,the afflicted,the afflicted,afflicted
"We didn't grow up to be the affluent society, right?",the affluent,the affluent,affluent
How much can your family afford to pay for college?,afford to pay,afford to-inf,afford
"As long as I can afford it, what is the problem?",afford it,afford n,afford
"Aleida Guevara this week denounced the commercialisation of her father's image as an affront to his socialist ideals.",affront to his,affront to n,affront
He was not always a wine aficionado.,a wine aficionado,n aficionado,aficionado
Ginsberg longed to set the page afire with his anger.,afire with his,afire with n,afire
His soul was like a furnace—aflame with the fire of divine love.,aflame with the fire,aflame with n,aflame
Table 1 shows that the diameter ranges agree with the aforementioned one.,the aforementioned one,det aforementioned n,aforementioned
"L. being so thereof seised of the aforesaid one thousand acres of land, being survey No.",the aforesaid one,det aforesaid n,aforesaid
Our third tip is: Don’t be afraid to ask questions.,afraid to ask,afraid to-inf,afraid
I feel afraid about it.,afraid about it,afraid about n,afraid
The soldier is afraid for his life?,afraid for his,afraid for n,afraid
I was always a little afraid of him.,afraid of him,afraid of n,afraid
I was very afraid when I heard this.,afraid when,afraid wh,afraid
I’m afraid that it may be too late already for Zeke.,afraid that,afraid that,afraid
Aft of the cockpit ACCOMMODATION : Operator and passen.,aft of the cockpit,aft of n,aft
"Of course, in the aftermath of the war, the U.S.",aftermath of the war,aftermath of n,aftermath
"It almost feels like a cop out, that the fight over the prenup is only shown in aftermath.",in aftermath,in aftermath,aftermath
The New Yorker is covering the storm and its aftermath.,its aftermath,"x+'s aftermath",aftermath
"The index fell as low as 10,012 in afternoon trading.",in afternoon,in afternoon,afternoon
"It’s salty, with a slightly bitter aftertaste.",bitter aftertaste,adj aftertaste,aftertaste
He croaked a afterthought-ish sound.,a afterthought,a afterthought,afterthought
The Rangers just won’t get a chance to play against him.,against him,against n,against
There is not one shred of proof against him.,proof against him,proof against n,against
Cover 2 can be vulnerable against the run in general.,vulnerable against the run,vulnerable against n,against
"It lay bright against the dark ground, like an opal.",bright against the dark,bright against n,against
Protect yourself against them.,protect yourself against them,protect n against n,against
Especially those who have clearly come out against it before.,come out against it,come out against n,against
Economic progress and equity act as a bulwark against the spread of radical ideas.,bulwark against the spread,bulwark against n,against
Just lean it against the wall there.,lean it against the wall,lean n against n,against
Costs for child care depend on the age of the child.,age of the child,age of n,age
He was guided around by a guy his age who struck a chord with him.,age who,age n,age
The legal drinking age in your area is: a.,age in your area,age in n,age
